Date,Open,High,Low,Close,Volume
2024-07-08,227.0900,227.8500,223.2500,227.8200,59085861
2024-07-05,221.6500,226.4500,221.6500,226.3400,60412408
2024-07-03,220.0000,221.5500,219.0300,221.5500,37369801
2024-07-02,216.1500,220.3800,215.1000,220.2700,58046178
2024-07-01,212.0900,217.5100,211.9200,216.7500,60402929
2024-06-28,215.7700,216.0700,210.3000,210.6200,82542718
2024-06-27,214.6900,215.7395,212.3500,214.1000,49772707
2024-06-26,211.5000,214.8600,210.6400,213.2500,66213186
2024-06-25,209.1500,211.3800,208.6100,209.0700,56713868
2024-06-24,207.7200,212.7000,206.5900,208.1400,80727006
2024-06-21,210.3900,211.8900,207.1100,207.4900,246421353
2024-06-20,213.9300,214.2400,208.8500,209.6800,86172451
2024-06-18,217.5900,218.6300,213.0000,214.2900,79943254
2024-06-17,213.3700,218.9500,212.7200,216.6700,93728300
2024-06-14,213.8500,215.1700,211.3000,212.4900,70122748
2024-06-13,214.7400,216.7500,211.6000,214.2400,97862729
2024-06-12,207.3700,220.2000,206.9000,213.0700,198134293
2024-06-11,193.6500,207.1600,193.6300,207.1500,172373296
2024-06-10,196.9000,197.3000,192.1500,193.1200,97262077
2024-06-07,194.6500,196.9400,194.1400,196.8900,53103912
2024-06-06,195.6850,196.5000,194.1700,194.4800,41181753
2024-06-05,195.4000,196.9000,194.8700,195.8700,54156785
2024-06-04,194.6350,195.3200,193.0342,194.3500,47471445
2024-06-03,192.9000,194.9900,192.5200,194.0300,50080539
2024-05-31,191.4400,192.5700,189.9100,192.2500,75158277
2024-05-30,190.7600,192.1800,190.6300,191.2900,49947941
2024-05-29,189.6100,192.2470,189.5100,190.2900,53068016
2024-05-28,191.5100,193.0000,189.1000,189.9900,52280051
2024-05-24,188.8200,190.5800,188.0404,189.9800,36326975
